"Œp‘±ŽžŠÔ
(s)","‰Á‘¬“xNS
(cm/s/s)"
48.12 ,-9.9 
48.14 ,-10.1 
48.16 ,-10.2 
48.18 ,-9.8 
48.20 ,-9.5 
48.22 ,-9.0 
48.24 ,-8.7 
48.26 ,-8.9 
48.28 ,-9.1 
48.30 ,-9.3 
48.32 ,-9.6 
48.34 ,-9.7 
48.36 ,-8.8 
48.38 ,-8.1 
48.40 ,-7.1 
48.42 ,-6.8 
48.44 ,-6.8 
48.46 ,-6.7 
48.48 ,-6.7 
48.50 ,-6.6 
48.52 ,-6.6 
48.54 ,-6.4 
48.56 ,-5.6 
48.58 ,-5.0 
48.60 ,-4.3 
48.62 ,-3.4 
48.64 ,-2.3 
48.66 ,-1.3 
48.68 ,-0.2 
48.70 ,1.0 
48.72 ,1.7 
48.74 ,0.9 
48.76 ,0.3 
48.78 ,-0.5 
48.80 ,-1.4 
48.82 ,-0.7 
48.84 ,0.6 
48.86 ,1.6 
48.88 ,1.3 
48.90 ,1.2 
48.92 ,0.8 
48.94 ,0.5 
48.96 ,0.0 
48.98 ,0.2 
49.00 ,0.9 
49.02 ,1.4 
49.04 ,2.1 
49.06 ,2.2 
49.08 ,1.0 
49.10 ,0.0 
49.12 ,-1.2 
49.14 ,-2.4 
49.16 ,-2.4 
49.18 ,-1.9 
49.20 ,-1.6 
49.22 ,-1.8 
49.24 ,-2.2 
49.26 ,-2.7 
49.28 ,-3.0 
49.30 ,-2.6 
49.32 ,-2.2 
49.34 ,-2.2 
49.36 ,-3.2 
49.38 ,-4.1 
49.40 ,-5.1 
49.42 ,-4.6 
49.44 ,-4.3 
49.46 ,-3.8 
49.48 ,-3.2 
49.50 ,-2.6 
49.52 ,-2.0 
49.54 ,-1.9 
49.56 ,-1.8 
49.58 ,-1.5 
49.60 ,1.3 
49.62 ,4.1 
49.64 ,6.7 
49.66 ,7.0 
49.68 ,7.6 
49.70 ,7.8 
49.72 ,8.0 
49.74 ,8.1 
49.76 ,8.4 
49.78 ,7.8 
49.80 ,6.1 
49.82 ,4.8 
49.84 ,3.1 
49.86 ,2.9 
49.88 ,3.0 
49.90 ,3.2 
49.92 ,3.5 
49.94 ,3.7 
49.96 ,2.4 
49.98 ,0.7 
50.00 ,-0.8 
50.02 ,-2.8 
50.04 ,-3.5 
50.06 ,-2.2 
50.08 ,-1.3 
50.10 ,0.1 
50.12 ,0.3 
50.14 ,0.1 
50.16 ,-0.1 
50.18 ,-0.5 
50.20 ,-0.8 
50.22 ,-1.1 
50.24 ,-1.5 
50.26 ,-1.2 
50.28 ,-0.8 
50.30 ,-0.4 
50.32 ,0.1 
50.34 ,0.5 
50.36 ,0.8 
50.38 ,0.8 
50.40 ,0.9 
50.42 ,1.0 
50.44 ,2.2 
50.46 ,3.3 
50.48 ,4.6 
50.50 ,5.9 
50.52 ,7.2 
50.54 ,7.9 
50.56 ,6.2 
50.58 ,5.0 
50.60 ,3.2 
50.62 ,1.6 
50.64 ,-0.4 
50.66 ,0.0 
50.68 ,3.0 
50.70 ,5.2 
50.72 ,8.7 
50.74 ,8.2 
50.76 ,3.1 
50.78 ,-0.2 
50.80 ,-6.2 
50.82 ,-2.8 
50.84 ,5.8 
50.86 ,13.0 
50.88 ,22.1 
50.90 ,18.5 
50.92 ,9.4 
50.94 ,9.1 
50.96 ,7.7 
50.98 ,9.0 
51.00 ,1.6 
51.02 ,-8.4 
51.04 ,-20.0 
51.06 ,-14.8 
51.08 ,-0.7 
51.10 ,10.7 
51.12 ,9.9 
51.14 ,4.8 
51.16 ,0.3 
51.18 ,-6.9 
51.20 ,-10.7 
51.22 ,-1.5 
51.24 ,6.9 
51.26 ,13.8 
51.28 ,6.7 
51.30 ,2.0 
51.32 ,3.5 
51.34 ,9.0 
51.36 ,8.6 
51.38 ,5.2 
51.40 ,2.4 
51.42 ,1.6 
51.44 ,1.3 
51.46 ,-1.1 
51.48 ,-3.4 
51.50 ,-6.7 
51.52 ,-5.4 
51.54 ,-2.0 
51.56 ,1.4 
51.58 ,4.8 
51.60 ,9.7 
51.62 ,5.8 
51.64 ,-4.8 
51.66 ,-11.9 
51.68 ,-9.5 
51.70 ,-6.0 
51.72 ,-2.4 
51.74 ,3.2 
51.76 ,3.8 
51.78 ,1.4 
51.80 ,-0.1 
51.82 ,-0.7 
51.84 ,0.6 
51.86 ,1.0 
51.88 ,2.4 
51.90 ,1.3 
51.92 ,0.4 
51.94 ,-0.8 
51.96 ,-2.7 
51.98 ,-5.5 
52.00 ,-8.4 
52.02 ,-9.3 
52.04 ,-6.1 
52.06 ,-3.6 
52.08 ,-0.2 
52.10 ,3.3 
52.12 ,3.7 
52.14 ,-1.4 
52.16 ,-4.5 
52.18 ,-10.3 
52.20 ,-7.7 
52.22 ,-2.3 
52.24 ,3.1 
52.26 ,4.1 
52.28 ,2.6 
52.30 ,1.3 
52.32 ,1.5 
52.34 ,6.1 
52.36 ,7.3 
52.38 ,7.4 
52.40 ,7.6 
52.42 ,7.3 
52.44 ,7.1 
52.46 ,5.7 
52.48 ,3.8 
52.50 ,2.1 
52.52 ,-0.2 
52.54 ,-3.3 
52.56 ,-6.4 
52.58 ,-6.8 
52.60 ,-5.1 
52.62 ,-5.4 
52.64 ,-5.4 
52.66 ,-5.7 
52.68 ,-3.3 
52.70 ,0.0 
52.72 ,3.3 
52.74 ,7.0 
52.76 ,9.6 
52.78 ,8.5 
52.80 ,8.0 
52.82 ,6.8 
52.84 ,7.5 
52.86 ,7.7 
52.88 ,8.5 
52.90 ,6.1 
52.92 ,3.7 
52.94 ,0.7 
52.96 ,-0.1 
52.98 ,0.4 
53.00 ,0.5 
53.02 ,-1.0 
53.04 ,-2.9 
53.06 ,-4.6 
53.08 ,-6.9 
53.10 ,-6.5 
53.12 ,-4.4 
53.14 ,-2.8 
53.16 ,-0.7 
53.18 ,-2.3 
53.20 ,-3.3 
53.22 ,-5.1 
53.24 ,-6.0 
53.26 ,-5.6 
53.28 ,-5.4 
53.30 ,-5.0 
53.32 ,-6.6 
53.34 ,-9.1 
53.36 ,-11.4 
53.38 ,-14.0 
53.40 ,-13.8 
53.42 ,-14.0 
53.44 ,-12.1 
53.46 ,-9.6 
53.48 ,-7.4 
53.50 ,-4.6 
53.52 ,-3.4 
53.54 ,-4.2 
53.56 ,-4.5 
53.58 ,-5.5 
53.60 ,-6.3 
53.62 ,-7.2 
53.64 ,-8.0 
53.66 ,-7.3 
53.68 ,-5.2 
53.70 ,-3.7 
53.72 ,-2.6 
53.74 ,-1.4 
