"Œp‘±ŽžŠÔ
(s)","‰Á‘¬“xNS
(cm/s/s)"
9.04 ,-23.6 
9.06 ,-96.0 
9.08 ,-65.6 
9.10 ,-59.7 
9.12 ,-67.0 
9.14 ,-55.2 
9.16 ,-2.7 
9.18 ,37.8 
9.20 ,107.2 
9.22 ,166.9 
9.24 ,94.7 
9.26 ,40.8 
9.28 ,66.7 
9.30 ,13.2 
9.32 ,-9.5 
9.34 ,-52.0 
9.36 ,-82.7 
9.38 ,-115.2 
9.40 ,-115.0 
9.42 ,-80.3 
9.44 ,-36.9 
9.46 ,2.9 
9.48 ,54.5 
9.50 ,117.8 
9.52 ,161.0 
9.54 ,-27.0 
9.56 ,3.4 
9.58 ,-5.6 
9.60 ,2.0 
9.62 ,14.6 
9.64 ,53.7 
9.66 ,79.8 
9.68 ,-20.5 
9.70 ,-59.0 
9.72 ,-16.9 
9.74 ,-17.5 
9.76 ,-2.8 
9.78 ,7.4 
9.80 ,38.2 
9.82 ,56.7 
9.84 ,75.3 
9.86 ,80.1 
9.88 ,59.2 
9.90 ,30.4 
9.92 ,2.3 
9.94 ,6.4 
9.96 ,-40.6 
9.98 ,-45.1 
10.00 ,-7.9 
10.02 ,16.8 
10.04 ,56.7 
10.06 ,9.3 
10.08 ,-5.5 
10.10 ,4.4 
10.12 ,-12.3 
10.14 ,-28.2 
10.16 ,-43.7 
10.18 ,-35.2 
10.20 ,-25.5 
10.22 ,-11.1 
10.24 ,20.5 
10.26 ,51.9 
10.28 ,85.4 
10.30 ,114.4 
10.32 ,73.3 
10.34 ,23.7 
10.36 ,-36.8 
10.38 ,-27.1 
10.40 ,-21.7 
10.42 ,-87.3 
10.44 ,-97.3 
10.46 ,-58.9 
10.48 ,-33.6 
10.50 ,7.7 
10.52 ,25.9 
10.54 ,50.8 
10.56 ,36.1 
10.58 ,8.1 
10.60 ,-5.6 
10.62 ,-20.9 
10.64 ,-31.7 
10.66 ,-23.8 
10.68 ,-37.6 
10.70 ,-55.0 
10.72 ,-72.2 
10.74 ,-80.3 
10.76 ,-52.3 
10.78 ,-34.0 
10.80 ,-1.1 
10.82 ,6.5 
10.84 ,-3.7 
10.86 ,-0.5 
10.88 ,-16.8 
10.90 ,-41.0 
10.92 ,-8.0 
